GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
school,com.learning.school.service,SchoolServiceImpl,49,25,3,1,10,7,3,3,1,3
school,com.learning.school.service,StudentServiceImpl,121,0,6,0,26,0,12,0,9,0
school,com.learning.school.service,TeacherServiceImpl,73,0,4,0,17,0,8,0,6,0
school,com.learning.school.service,CourseServiceImpl,75,0,4,0,17,0,8,0,6,0
school,com.learning.school.exception,GlobalExceptionHandler,62,0,0,0,15,0,6,0,6,0
school,com.learning.school.exception,NotFoundException,4,0,0,0,2,0,1,0,1,0
school,com.learning.school.exception,CustomExceptionHandler,116,10,22,0,5,4,20,1,9,1
school,com.learning.school.exception,BadRequestExcep,4,0,0,0,2,0,1,0,1,0
school,com.learning.school.entity,School,196,18,38,0,6,2,32,2,13,2
school,com.learning.school.entity,Course,257,0,46,0,9,0,40,0,17,0
school,com.learning.school.entity,Student.StudentBuilder,55,0,0,0,1,0,8,0,8,0
school,com.learning.school.entity,Course.CourseBuilder,54,0,0,0,1,0,8,0,8,0
school,com.learning.school.entity,Student,258,0,46,0,9,0,40,0,17,0
school,com.learning.school.entity,Teacher,257,0,46,0,9,0,40,0,17,0
school,com.learning.school.entity,Teacher.TeacherBuilder,54,0,0,0,1,0,8,0,8,0
school,com.learning.school.entity,School.SchoolBuilder,45,0,0,0,1,0,7,0,7,0
school,com.learning.school.controller,CourseController,40,0,0,0,9,0,5,0,5,0
school,com.learning.school.controller,StudentController,59,0,0,0,13,0,7,0,7,0
school,com.learning.school.controller,SchoolController,30,0,0,0,9,0,5,0,5,0
school,com.learning.school.controller,TeacherController,40,0,0,0,9,0,5,0,5,0
school,com.learning.school,SchoolApplication,8,0,0,0,3,0,2,0,2,0
school,com.learning.school.dto,SuccessResponseDto,169,0,30,0,7,0,27,0,12,0
school,com.learning.school.dto,CourseDto,195,0,38,0,5,0,32,0,13,0
school,com.learning.school.dto,ErrorResponseDto,129,0,22,0,3,0,22,0,11,0
school,com.learning.school.dto,ErrorResponseDto.ErrorResponseDtoBuilder,28,0,0,0,1,0,5,0,5,0
school,com.learning.school.dto,TeacherDto,195,0,38,0,5,0,32,0,13,0
school,com.learning.school.dto,SchoolDto,167,0,30,0,7,0,27,0,12,0
school,com.learning.school.dto,StudentDto,155,0,30,0,4,0,26,0,11,0
school,com.learning.school.common,ResponseHandler,19,0,0,0,5,0,2,0,2,0
school,com.learning.school.common,ErrorMessageConstant,3,3,0,0,1,1,1,1,1,1
